GO:0005515	7473	protein binding
GO:0046872	2853	metal ion binding
GO:0000166	1778	nucleotide binding
GO:0003677	1720	DNA binding
GO:0016787	1387	hydrolase activity
GO:0016740	1356	transferase activity
GO:0005524	1323	ATP binding
GO:0008270	960	zinc ion binding
GO:0044822	906	poly(A) RNA binding
GO:0003700	817	transcription factor activity, sequence-specific DNA binding
GO:0003676	813	nucleic acid binding
GO:0042803	680	protein homodimerization activity
GO:0003723	673	RNA binding
GO:0004871	641	signal transducer activity
GO:0016301	600	kinase activity
GO:0005509	593	calcium ion binding
GO:0042802	580	identical protein binding
GO:0043565	547	sequence-specific DNA binding
GO:0016491	537	oxidoreductase activity
GO:0003674	504	molecular_function
GO:0004672	490	protein kinase activity
GO:0003824	481	catalytic activity
GO:0004930	459	G-protein coupled receptor activity
GO:0008233	446	peptidase activity
GO:0005102	404	receptor binding
GO:0046982	396	protein heterodimerization activity
GO:0004674	373	protein serine/threonine kinase activity
GO:0019901	368	protein kinase binding
GO:0003682	350	chromatin binding
GO:0019899	325	enzyme binding
GO:0016874	322	ligase activity
GO:0003779	319	actin binding
GO:0000978	313	RNA polymerase II core promoter proximal region sequence-specific DNA binding
GO:0005525	311	GTP binding
GO:0008134	290	transcription factor binding
GO:0004842	270	ubiquitin-protein transferase activity
GO:0031625	256	ubiquitin protein ligase binding
GO:0032403	244	protein complex binding
GO:0008289	243	lipid binding
GO:0003713	232	transcription coactivator activity
GO:0004872	229	receptor activity
GO:0001077	222	transcriptional activator activity, RNA polymerase II core promoter proximal region sequence-specific binding
GO:0005215	221	transporter activity
GO:0005096	220	GTPase activator activity
GO:0019904	217	protein domain specific binding
GO:0005125	215	cytokine activity
GO:0016757	212	transferase activity, transferring glycosyl groups
GO:0044212	209	transcription regulatory region DNA binding
GO:0003924	198	GTPase activity
GO:0005198	196	structural molecule activity
GO:0004888	191	transmembrane signaling receptor activity
GO:0003714	186	transcription corepressor activity
GO:0030246	183	carbohydrate binding
GO:0016887	182	ATPase activity
GO:0008022	181	protein C-terminus binding
GO:0004252	176	serine-type endopeptidase activity
GO:0046983	176	protein dimerization activity
GO:0000287	175	magnesium ion binding
GO:0000977	175	RNA polymerase II regulatory region sequence-specific DNA binding
GO:0005516	173	calmodulin binding
GO:0008017	173	microtubule binding
GO:0005216	171	ion channel activity
GO:0008237	162	metallopeptidase activity
GO:0008083	159	growth factor activity
GO:0061630	155	ubiquitin protein ligase activity
GO:0003735	154	structural constituent of ribosome
GO:0008201	153	heparin binding
GO:0004713	152	protein tyrosine kinase activity
GO:0005085	148	guanyl-nucleotide exchange factor activity
GO:0000981	146	RNA polymerase II transcription factor activity, sequence-specific DNA binding
GO:0016746	141	transferase activity, transferring acyl groups
GO:0005244	136	voltage-gated ion channel activity
GO:0008236	135	serine-type peptidase activity
GO:0016829	135	lyase activity
GO:0004721	134	phosphoprotein phosphatase activity
GO:0008168	134	methyltransferase activity
GO:0004386	131	helicase activity
GO:0005506	131	iron ion binding
GO:0020037	120	heme binding
GO:0051015	114	actin filament binding
GO:0005088	111	Ras guanyl-nucleotide exchange factor activity
GO:0017124	110	SH3 domain binding
GO:0008234	109	cysteine-type peptidase activity
GO:0044325	108	ion channel binding
GO:0004222	107	metalloendopeptidase activity
GO:0016791	106	phosphatase activity
GO:0005178	105	integrin binding
GO:0030414	105	peptidase inhibitor activity
GO:0015293	104	symporter activity
GO:0004518	103	nuclease activity
GO:0005179	102	hormone activity
GO:0016853	102	isomerase activity
GO:0004984	101	olfactory receptor activity
GO:0001078	100	transcriptional repressor activity, RNA polymerase II core promoter proximal region sequence-specific binding
GO:0003690	100	double-stranded DNA binding
GO:0003729	99	mRNA binding
GO:0017137	99	Rab GTPase binding
GO:0042826	96	histone deacetylase binding
GO:0001228	95	transcriptional activator activity, RNA polymerase II transcription regulatory region sequence-specific binding
GO:0004725	95	protein tyrosine phosphatase activity
GO:0047485	95	protein N-terminus binding
GO:0005200	91	structural constituent of cytoskeleton
GO:0009055	91	electron carrier activity
GO:0002020	88	protease binding
GO:0005262	88	calcium channel activity
GO:0030165	87	PDZ domain binding
GO:0042393	87	histone binding
