"Var1	Freq	V3"
"GO:0016020	6238	membrane"
"GO:0005737	5690	cytoplasm"
"GO:0005634	5057	nucleus"
"GO:0005886	3754	plasma membrane"
"GO:0005829	3057	cytosol"
"GO:0070062	2460	extracellular exosome"
"GO:0005654	2413	nucleoplasm"
"GO:0005576	1762	extracellular region"
"GO:0005739	1335	mitochondrion"
"GO:0005887	1259	integral component of plasma membrane"
"GO:0005615	1212	extracellular space"
"GO:0005783	1169	endoplasmic reticulum"
"GO:0005794	1059	Golgi apparatus"
"GO:0005856	1034	cytoskeleton"
"GO:0005622	898	intracellular"
"GO:0005789	809	endoplasmic reticulum membrane"
"GO:0005730	708	nucleolus"
"GO:0000139	561	Golgi membrane"
"GO:0005768	493	endosome"
"GO:0005764	297	lysosome"
"GO:0005759	292	mitochondrial matrix"
"GO:0005765	225	lysosomal membrane"
"GO:0031012	210	extracellular matrix"
"GO:0031965	195	nuclear membrane"
"GO:0009897	190	external side of plasma membrane"
"GO:0005788	186	endoplasmic reticulum lumen"
"GO:0010008	185	endosome membrane"
"GO:0005911	165	cell-cell junction"
"GO:0005635	137	nuclear envelope"
"GO:0005741	136	mitochondrial outer membrane"
"GO:0005840	135	ribosome"
"GO:0031966	112	mitochondrial membrane"
"GO:0005777	102	peroxisome"
"GO:0016363	92	nuclear matrix"
"GO:0005796	91	Golgi lumen"
"GO:0043202	83	lysosomal lumen"
"GO:0030176	80	integral component of endoplasmic reticulum membrane"
"GO:0008076	78	voltage-gated potassium channel complex"
"GO:0031234	64	extrinsic component of cytoplasmic side of plasma membrane"
"GO:0005912	60	adherens junction"
"GO:0005643	54	nuclear pore"
"GO:0071944	54	cell periphery"
"GO:0005778	52	peroxisomal membrane"
"GO:0005791	48	rough endoplasmic reticulum"
"GO:0034707	47	chloride channel complex"
"GO:0030173	45	integral component of Golgi membrane"
"GO:0005782	43	peroxisomal matrix"
"GO:0005913	43	cell-cell adherens junction"
"GO:0009898	41	cytoplasmic side of plasma membrane"
"GO:0045171	41	intercellular bridge"
"GO:0033017	33	sarcoplasmic reticulum membrane"
"GO:0005891	26	voltage-gated calcium channel complex"
"GO:0005790	25	smooth endoplasmic reticulum"
"GO:0031226	25	intrinsic component of plasma membrane"
"GO:0005892	23	acetylcholine-gated channel complex"
"GO:0019897	22	extrinsic component of plasma membrane"
"GO:0005640	20	nuclear outer membrane"
"GO:0005773	19	vacuole"
"GO:0031307	17	integral component of mitochondrial outer membrane"
"GO:0031305	16	integral component of mitochondrial inner membrane"
"GO:0001518	14	voltage-gated sodium channel complex"
